AoA;UL;UD
-6;-0,209;0,43
-4;-0,204;0,37
-2;-0,177;0,33
0;-0,15;0,31
2;-0,104;0,29
4;-0,067;0,3
6;-0,038;0,32
8;-0,019;0,34
10;-0,021;0,45
12;-0,034;0,5
14;-0,036;0,54
16;-0,032;0,59
18;-0,028;0,65
20;-0,025;0,72
